0 0  0 -85.4038
0 13.7837  0 -85.3887
0 27.5674  0 -85.3853
0 41.3511  0 -85.4417
0 55.1348  0 -85.5137
0 68.9185  0 -85.4533
0 82.7022  0 -85.394
0 96.486  0 -85.4506
0 110.27  0 -85.3753
0 124.053  0 -85.2545
0 137.837  0 -85.1443
0 151.621  0 -85.2327
0 165.404  0 -84.8558
0 179.188  0 -84.4467
0 192.972  0 -83.7214
0 206.756  0 -83.1224
0 220.539  0 -82.9884
0 234.323  0 -82.844
0 248.107  0 -82.6864
0 261.89  0 -82.5103
0 275.674  0 -82.3086
0 289.458  0 -82.053
0 303.242  0 -81.7089
0 317.025  0 -81.47
0 330.809  0 -81.2328
0 344.593  0 -80.3694
0 358.376  0 -80.109
0 372.16  0 -80.5865
0 385.944  0 -81.0958
0 399.728  0 -82.7309
0 413.511  0 -82.6483
0 427.295  0 -82.5233
0 441.079  0 -82.3906
0 454.862  0 -82.2496
0 468.646  0 -82.0912
0 482.43  0 -81.9275
0 496.213  0 -81.6482
0 509.997  0 -81.4907
0 523.781  0 -81.4009
0 537.565  0 -81.3104
0 551.348  0 -81.3218
0 565.132  0 -81.0968
0 578.916  0 -80.8485
0 592.699  0 -80.4446
0 606.483  0 -80.0788
0 620.267  0 -79.9328
0 634.051  0 -79.7779
0 647.834  0 -79.4796
0 661.618  0 -79.3315
0 675.402  0 -79.1915
0 689.185  0 -78.9874
0 702.969  0 -78.6348
0 716.753  0 -78.6297
0 730.536  0 -78.6243
0 744.32  0 -78.5371
0 758.104  0 -78.528
0 771.888  0 -78.6314
0 785.671  0 -78.7389
0 799.455  0 -78.9967
0 813.239  0 -79.0542
0 827.022  0 -79.1123
0 840.806  0 -79.2184
0 854.59  0 -79.3481
0 868.374  0 -79.3282
0 882.157  0 -79.2937
0 895.941  0 -79.3351
0 909.725  0 -79.2287
0 923.508  0 -78.9019
0 937.292  0 -78.5912
0 951.076  0 -76.7402
0 964.86  0 -77.7975
0 978.643  0 -79.1562
0 992.427  0 -82.1973
0 1006.21  0 -84.7384
0 1019.99  0 -83.0922
0 1033.78  0 -81.9683
0 1047.56  0 -76.1699
0 1061.35  0 -75.8738
0 1075.13  0 -76.972
0 1088.91  0 -78.5854
0 1102.7  0 -81.226
0 1116.48  0 -81.2788
0 1130.26  0 -81.3378
0 1144.05  0 -81.4811
0 1157.83  0 -81.559
0 1171.62  0 -81.5253
0 1185.4  0 -81.4973
0 1199.18  0 -81.3301
0 1212.97  0 -81.38
0 1226.75  0 -81.4565
0 1240.53  0 -81.5818
0 1254.32  0 -81.7421
0 1268.1  0 -81.7465
0 1281.88  0 -81.752
0 1295.67  0 -81.7585
0 1309.45  0 -81.7662
0 1323.24  0 -81.7749
0 1337.02  0 -81.7849
0 1350.8  0 -81.796
0 1364.59  0 -81.8085
0 1378.37  0 -81.8223
0 1392.15  0 -81.8374
0 1405.94  0 -81.854
0 1419.72  0 -81.8722
0 1433.51  0 -81.8919
0 1447.29  0 -81.9132
0 1461.07  0 -81.9363
0 1474.86  0 -81.9611
0 1488.64  0 -81.9879
0 1502.42  0 -82.0165
0 1516.21  0 -82.0473
0 1529.99  0 -82.0802
0 1543.78  0 -82.1153
0 1557.56  0 -82.1528
0 1571.34  0 -82.1928
0 1585.13  0 -82.2354
0 1598.91  0 -82.2808
0 1612.69  0 -82.329
0 1626.48  0 -82.3802
0 1640.26  0 -82.4347
0 1654.04  0 -82.4925
0 1667.83  0 -82.5539
0 1681.61  0 -82.6191
0 1695.4  0 -82.6883
0 1709.18  0 -82.7617
0 1722.96  0 -82.8396
0 1736.75  0 -82.9223
0 1750.53  0 -83.0101
0 1764.31  0 -83.1033
0 1778.1  0 -83.2023
0 1791.88  0 -83.3075
0 1805.67  0 -83.4194
0 1819.45  0 -83.5385
0 1833.23  0 -83.6653
0 1847.02  0 -83.8005
0 1860.8  0 -83.9448
0 1874.58  0 -84.0989
0 1888.37  0 -84.264
0 1902.15  0 -84.441
0 1915.94  0 -84.6312
0 1929.72  0 -84.8363
0 1943.5  0 -85.0582
0 1957.29  0 -85.2994
0 1971.07  0 -85.563
0 1984.85  0 -85.854
0 1998.64  0 -86.1787
0 2012.42  0 -86.552
0 2026.2  0 -86.9906
0 2039.99  0 -87.6183
0 2053.77  0 -88.5237
0 2067.56  0 -88.5867
0 2081.34  0 -88.6191
0 2095.12  0 -89.0506
0 2108.91  0 -89.2154
0 2122.69  0 -89.1849
0 2136.47  0 -88.9508
0 2150.26  0 -89.8766
0 2164.04  0 -89.303
0 2177.83  0 -88.6853
0 2191.61  0 -87.4343
0 2205.39  0 -85.9683
0 2219.18  0 -85.727
0 2232.96  0 -85.4899
0 2246.74  0 -84.7773
0 2260.53  0 -84.6368
0 2274.31  0 -84.7366
0 2288.1  0 -84.8692
0 2301.88  0 -85.0955
0 2315.66  0 -85.2233
0 2329.45  0 -85.374
0 2343.23  0 -85.8805
0 2357.01  0 -86.215
0 2370.8  0 -85.9644
0 2384.58  0 -85.7148
0 2398.37  0 -85.2287
0 2412.15  0 -84.9896
0 2425.93  0 -84.7645
0 2439.72  0 -84.4736
0 2453.5  0 -84.0733
0 2467.28  0 -83.9068
0 2481.07  0 -83.7284
0 2494.85  0 -83.3819
0 2508.63  0 -83.1597
0 2522.42  0 -82.9687
0 2536.2  0 -82.8755
0 2549.99  0 -81.5878
0 2563.77  0 -82.2737
0 2577.55  0 -83.0563
0 2591.34  0 -84.2504
0 2605.12  0 -85.837
0 2618.9  0 -85.7362
0 2632.69  0 -85.5336
0 2646.47  0 -85.8753
0 2660.26  0 -85.7439
0 2674.04  0 -85.3054
0 2687.82  0 -84.8579
0 2701.61  0 -83.7696
0 2715.39  0 -83.5338
0 2729.17  0 -83.2988
0 2742.96  0 -82.8573
0 2756.74  0 -82.4992
0 2770.53  0 -82.5677
0 2784.31  0 -82.5644
0 2798.09  0 -83.4903
0 2811.88  0 -83.2467
0 2825.66  0 -82.6815
0 2839.44  0 -81.852
0 2853.23  0 -80.4194
0 2867.01  0 -80.1394
0 2880.79  0 -79.8536
0 2894.58  0 -79.066
0 2908.36  0 -78.8058
0 2922.15  0 -79.1886
0 2935.93  0 -79.6755
0 2949.71  0 -80.9152
0 2963.5  0 -81.0784
0 2977.28  0 -81.3302
0 2991.06  0 -82.1536
0 3004.85  0 -83.3904
0 3018.63  0 -82.4252
0 3032.42  0 -81.3668
0 3046.2  0 -78.0864
0 3059.98  0 -75.9873
0 3073.77  0 -74.7626
0 3087.55  0 -73.3859
0 3101.33  0 -70.7827
0 3115.12  0 -69.8629
0 3128.9  0 -68.857
0 3142.69  0 -67.0946
0 3156.47  0 -65.4847
0 3170.25  0 -64.8346
0 3184.04  0 -64.2183
0 3197.82  0 -62.2801
0 3211.6  0 -61.7639
0 3225.39  0 -61.29
0 3239.17  0 -60.2054
0 3252.95  0 -56.6624
0 3266.74  0 -59.2162
0 3280.52  0 -63.4634
0 3294.31  0 -71.0004
0 3308.09  0 -74.8246
0 3321.87  0 -74.6491
0 3335.66  0 -74.6764
0 3349.44  0 -76.6682
0 3363.22  0 -74.5859
0 3377.01  0 -72.7814
0 3390.79  0 -65.6111
0 3404.58  0 -54.728
0 3418.36  0 -54.7592
0 3432.14  0 -54.83
0 3445.93  0 -54.7592
0 3459.71  0 -54.9955
0 3473.49  0 -55.5286
0 3487.28  0 -56.3122
0 3501.06  0 -58.0911
0 3514.85  0 -58.5008
0 3528.63  0 -59.0617
0 3542.41  0 -60.2073
0 3556.2  0 -61.242
0 3569.98  0 -61.4397
0 3583.76  0 -61.7036
0 3597.55  0 -61.9726
0 3611.33  0 -62.4575
0 3625.12  0 -63.2599
0 3638.9  0 -63.7369
0 3652.68  0 -69.4142
0 3666.47  0 -68.5804
0 3680.25  0 -67.8494
0 3694.03  0 -66.4849
0 3707.82  0 -65.2214
0 3721.6  0 -65.1273
0 3735.38  0 -63.0612
0 3749.17  0 -69.0167
0 3762.95  0 -66.6433
0 3776.74  0 -63.4211
0 3790.52  0 -59.1303
0 3804.3  0 -53.8479
0 3818.09  0 -51.6285
0 3831.87  0 -49.4348
0 3845.65  0 -43.4851
0 3859.44  0 -39.7752
0 3873.22  0 -37.3863
0 3887.01  0 -34.7601
0 3900.79  0 -30.6771
0 3914.57  0 -25.4994
0 3928.36  0 -17.492
0 3942.14  0 -20.5635
0 3955.92  0 -29.1722
0 3969.71  0 -17.4732
0 3983.49  0 -22.9367
0 3997.28  0 -32.7539
0 4011.06  0 -33.6811
0 4024.84  0 -37.0461
0 4038.63  0 -38.974
0 4052.41  0 -40.9554
0 4066.19  0 -42.9525
0 4079.98  0 -44.4773
